title,rating,body,review_text,cleaned_text
Worst camera quality,1,"Worst camera quality. It is like 2 megapixel camera. Photos are very worst. If you slightly zoom the photo,  you can see blurry...Previously I used 13 megapixel amera phone. Those photos are very good.","Worst camera quality Worst camera quality. It is like 2 megapixel camera. Photos are very worst. If you slightly zoom the photo,  you can see blurry...Previously I used 13 megapixel amera phone. Those photos are very good.","Counter({'worst': 3, 'camera': 3, 'quality': 2, 'megapixel': 2, 'photos': 2, 'are': 2, 'very': 2, 'you': 2, 'it': 1, 'is': 1, 'like': 1, '2': 1, 'if': 1, 'slightly': 1, 'zoom': 1, 'the': 1, 'photo': 1, 'can': 1, 'see': 1, 'blurry': 1, 'previously': 1, 'i': 1, 'used': 1, '13': 1, 'amera': 1, 'phone': 1, 'those': 1, 'good': 1})"
No 5Ghz wifi band,1,"No 5Ghz wifi band on this mobile, miserable in 2021 , even my previous mobile of Samsung which I bought in 2017 have 5Ghz wifi , it's a big comedy","No 5Ghz wifi band No 5Ghz wifi band on this mobile, miserable in 2021 , even my previous mobile of Samsung which I bought in 2017 have 5Ghz wifi , it's a big comedy","Counter({'5ghz': 3, 'wifi': 3, 'no': 2, 'band': 2, 'mobile': 2, 'in': 2, 'on': 1, 'this': 1, 'miserable': 1, '2021': 1, 'even': 1, 'my': 1, 'previous': 1, 'of': 1, 'samsung': 1, 'which': 1, 'i': 1, 'bought': 1, '2017': 1, 'have': 1, 'it': 1, 's': 1, 'a': 1, 'big': 1, 'comedy': 1})"
Cheated,1,Don't received  handset ejection  pin  and manual.,Cheated Don't received  handset ejection  pin  and manual.,"Counter({'cheated': 1, 'don': 1, 't': 1, 'received': 1, 'handset': 1, 'ejection': 1, 'pin': 1, 'and': 1, 'manual': 1})"
Dont buy samsung m12 mobile,1,very poor build qualityvery poor camera piclow quality phoneno return policyvery worst mobilejust making fool to customer by samsung m12 and Amazon,Dont buy samsung m12 mobile very poor build qualityvery poor camera piclow quality phoneno return policyvery worst mobilejust making fool to customer by samsung m12 and Amazon,"Counter({'samsung': 2, 'm12': 2, 'poor': 2, 'dont': 1, 'buy': 1, 'mobile': 1, 'very': 1, 'build': 1, 'qualityvery': 1, 'camera': 1, 'piclow': 1, 'quality': 1, 'phoneno': 1, 'return': 1, 'policyvery': 1, 'worst': 1, 'mobilejust': 1, 'making': 1, 'fool': 1, 'to': 1, 'customer': 1, 'by': 1, 'and': 1, 'amazon': 1})"
Good one in this price segment.,5,Just unboxed the phone.Seems to be a better one in this price segment as of now.Just checked with the camera & voice it seems good but one thing it's very heavy in weight may be due to battery.Hope samsung lives upto expectation.,Good one in this price segment. Just unboxed the phone.Seems to be a better one in this price segment as of now.Just checked with the camera & voice it seems good but one thing it's very heavy in weight may be due to battery.Hope samsung lives upto expectation.,"Counter({'one': 3, 'in': 3, 'good': 2, 'this': 2, 'price': 2, 'segment': 2, 'just': 2, 'the': 2, 'seems': 2, 'to': 2, 'be': 2, 'it': 2, 'unboxed': 1, 'phone': 1, 'a': 1, 'better': 1, 'as': 1, 'of': 1, 'now': 1, 'checked': 1, 'with': 1, 'camera': 1, 'voice': 1, 'but': 1, 'thing': 1, 's': 1, 'very': 1, 'heavy': 1, 'weight': 1, 'may': 1, 'due': 1, 'battery': 1, 'hope': 1, 'samsung': 1, 'lives': 1, 'upto': 1, 'expectation': 1})"
Hitting issue,1,Hitting issue,Hitting issue Hitting issue,"Counter({'hitting': 2, 'issue': 2})"
Worst product with cheap quality material.,1,Worst product and low quality never expected this kind of product from Samsung even though it's having high end config. It doesn't look that way.Camera utterly disappointed. Never seen this kind of mobile in the recent past and more over if you buy this product you have to bare with it because no return/refund option according to return policy only replacement that disappoints even more. Advising don't waste money on this product.,Worst product with cheap quality material. Worst product and low quality never expected this kind of product from Samsung even though it's having high end config. It doesn't look that way.Camera utterly disappointed. Never seen this kind of mobile in the recent past and more over if you buy this product you have to bare with it because no return/refund option according to return policy only replacement that disappoints even more. Advising don't waste money on this product.,"Counter({'product': 5, 'this': 4, 'it': 3, 'worst': 2, 'with': 2, 'quality': 2, 'and': 2, 'never': 2, 'kind': 2, 'of': 2, 'even': 2, 't': 2, 'that': 2, 'more': 2, 'you': 2, 'to': 2, 'return': 2, 'cheap': 1, 'material': 1, 'low': 1, 'expected': 1, 'from': 1, 'samsung': 1, 'though': 1, 's': 1, 'having': 1, 'high': 1, 'end': 1, 'config': 1, 'doesn': 1, 'look': 1, 'way': 1, 'camera': 1, 'utterly': 1, 'disappointed': 1, 'seen': 1, 'mobile': 1, 'in': 1, 'the': 1, 'recent': 1, 'past': 1, 'over': 1, 'if': 1, 'buy': 1, 'have': 1, 'bare': 1, 'because': 1, 'no': 1, 'refund': 1, 'option': 1, 'according': 1, 'policy': 1, 'only': 1, 'replacement': 1, 'disappoints': 1, 'advising': 1, 'don': 1, 'waste': 1, 'money': 1, 'on': 1})"
Below average,1,"Good battery. Heating while charging and using mobile data, camera below average with 48 mp true, looks like 13 mp. Heavy in weight and thickness (okay that 6000 mah) display is not good as other phones in this rage in terms of technology and display ratio. Overall below average in this price.","Below average Good battery. Heating while charging and using mobile data, camera below average with 48 mp true, looks like 13 mp. Heavy in weight and thickness (okay that 6000 mah) display is not good as other phones in this rage in terms of technology and display ratio. Overall below average in this price.","Counter({'in': 4, 'below': 3, 'average': 3, 'and': 3, 'good': 2, 'mp': 2, 'display': 2, 'this': 2, 'battery': 1, 'heating': 1, 'while': 1, 'charging': 1, 'using': 1, 'mobile': 1, 'data': 1, 'camera': 1, 'with': 1, '48': 1, 'true': 1, 'looks': 1, 'like': 1, '13': 1, 'heavy': 1, 'weight': 1, 'thickness': 1, 'okay': 1, 'that': 1, '6000': 1, 'mah': 1, 'is': 1, 'not': 1, 'as': 1, 'other': 1, 'phones': 1, 'rage': 1, 'terms': 1, 'of': 1, 'technology': 1, 'ratio': 1, 'overall': 1, 'price': 1})"
"RUBBISH PHONE, WANT MY MONEY BACK",1,"PHONE IS TOTAL RUBBISH.  Slowest to respond, Camera not at all good, abruptly closes down youtube and other applications on itself....AND THIS PHONE IS UTTER WASTE. CAMERA QUALITY IS BAD.Not at all happy with the product.I WANT MY MONEY BACK","RUBBISH PHONE, WANT MY MONEY BACK PHONE IS TOTAL RUBBISH.  Slowest to respond, Camera not at all good, abruptly closes down youtube and other applications on itself....AND THIS PHONE IS UTTER WASTE. CAMERA QUALITY IS BAD.Not at all happy with the product.I WANT MY MONEY BACK","Counter({'phone': 3, 'is': 3, 'rubbish': 2, 'want': 2, 'my': 2, 'money': 2, 'back': 2, 'camera': 2, 'not': 2, 'at': 2, 'all': 2, 'and': 2, 'total': 1, 'slowest': 1, 'to': 1, 'respond': 1, 'good': 1, 'abruptly': 1, 'closes': 1, 'down': 1, 'youtube': 1, 'other': 1, 'applications': 1, 'on': 1, 'itself': 1, 'this': 1, 'utter': 1, 'waste': 1, 'quality': 1, 'bad': 1, 'happy': 1, 'with': 1, 'the': 1, 'product': 1, 'i': 1})"
Perfect phone with this price,5,"This is perfect phone, good speed, decent specs and outstanding battery life. The look of the device is also attractive. Above all, the trust of company.","Perfect phone with this price This is perfect phone, good speed, decent specs and outstanding battery life. The look of the device is also attractive. Above all, the trust of company.","Counter({'the': 3, 'perfect': 2, 'phone': 2, 'this': 2, 'is': 2, 'of': 2, 'with': 1, 'price': 1, 'good': 1, 'speed': 1, 'decent': 1, 'specs': 1, 'and': 1, 'outstanding': 1, 'battery': 1, 'life': 1, 'look': 1, 'device': 1, 'also': 1, 'attractive': 1, 'above': 1, 'all': 1, 'trust': 1, 'company': 1})"
Not recommended for Jiofiber users,1,"Very disappointing ,Samsung manufactured only 2.4Ghz support mobile in 2021 @ 13000 cost. Newer days below 10000 value mobiles also supporting dual band.I have purchased samsung mobile in 2018 will support 5ghz band, 2021 manufactured mobile will not support dual band  very shameful.This is cheating of amazon not mentioned same in details about the product. I am suggesting don't buy those who are using Jiofiber WIFI.","Not recommended for Jiofiber users Very disappointing ,Samsung manufactured only 2.4Ghz support mobile in 2021 @ 13000 cost. Newer days below 10000 value mobiles also supporting dual band.I have purchased samsung mobile in 2018 will support 5ghz band, 2021 manufactured mobile will not support dual band  very shameful.This is cheating of amazon not mentioned same in details about the product. I am suggesting don't buy those who are using Jiofiber WIFI.","Counter({'not': 3, 'support': 3, 'mobile': 3, 'in': 3, 'band': 3, 'jiofiber': 2, 'very': 2, 'samsung': 2, 'manufactured': 2, '2021': 2, 'dual': 2, 'i': 2, 'will': 2, 'recommended': 1, 'for': 1, 'users': 1, 'disappointing': 1, 'only': 1, '2': 1, '4ghz': 1, '13000': 1, 'cost': 1, 'newer': 1, 'days': 1, 'below': 1, '10000': 1, 'value': 1, 'mobiles': 1, 'also': 1, 'supporting': 1, 'have': 1, 'purchased': 1, '2018': 1, '5ghz': 1, 'shameful': 1, 'this': 1, 'is': 1, 'cheating': 1, 'of': 1, 'amazon': 1, 'mentioned': 1, 'same': 1, 'details': 1, 'about': 1, 'the': 1, 'product': 1, 'am': 1, 'suggesting': 1, 'don': 1, 't': 1, 'buy': 1, 'those': 1, 'who': 1, 'are': 1, 'using': 1, 'wifi': 1})"
Very poor performance,1,Dislike,Very poor performance Dislike,"Counter({'very': 1, 'poor': 1, 'performance': 1, 'dislike': 1})"
Very bad self camera,1,Self camera is just like 2 mega pixels.,Very bad self camera Self camera is just like 2 mega pixels.,"Counter({'self': 2, 'camera': 2, 'very': 1, 'bad': 1, 'is': 1, 'just': 1, 'like': 1, '2': 1, 'mega': 1, 'pixels': 1})"
"Not So impressive,okay okay.Little over price",3,"The media could not be loaded.
                




   #m12,#m12unboxing,#samsungm12 ,#unboxing ,#Samsung, #Galaxy, #M12,#SamsungGalaxyM12M12 unboxing videoNot so impressive Mobile from Samsung, currently direct compete with LGK42, Moto G30/G10To All people who want to purchase mobile DO NOT go on Mobile Marketing and Actors endorsing Mobile.:Remember 5G is coming hence you are getting so much discount on all 4G mobile. Mobile manufacturers are clearing stocks, Need to inform 5G mobile support 4G band but all 4G mobile will not support 5G.Take example, if you purchase 20,0000 mobile today, after 20 months you may need to change to 5G mobile hence it will cost you 1000 per month (costing matters) and you will not get High exchange value (not even 50% cost), Currently 5G yet to come in India, may be yearend or come will be high cost.Points to Remember while purchasing Mobile:1) Mobile band support, Dual Wi-fi Support is better.2) Graphics PPI matter hence check PPI value of mobile. It directly related to Mobile display and colour quality, Higher is better.3) Check Mobile camera F value (lower value, higher picture quality) if less than 1.8 is best. Mostly camera quality depends on Focal Value not on pixel4) Android upgrade support. This is important as your mobile will useless within 2 years, remember you don’t want any mobile who cannot upgrade to Android 11.5) Item Weight and height of mobile. Lower is better, it really matter as you will get pain while holding mobile for long time, specially  old people.6) Mobile resolution, Higher is better7) screen refresh rate, Higher is better8) Clean Android installation. This is also important as manufacturers cannot force you to install or retain any app.M12 /Pro6000 battery (not fully tested yet)Android 11, v11.0 operating system, One UI 3.1with 8nm Power Efficient Exynos850 (Octa Core 2.0GHz)90Hz screen refresh rateSamsung Brand (Non-Chinese)Galaxy Store supportDolby Atmos support. Currently Audio testing is going onM12 Cons720p screen resolutionNo AR support, ARcore Absentresolution with 720 x 1600 pixels resolution, low Graphics PPI 269 PPI with 16M colours221 Grams Dimensions 1 x 7.6 x 16.4 cmLCDpre-installed Bloatware some of cannot uninstalled but need to disablehigher Mobile F value (F 2.0)No headphones, no backcover ,no extra accessories.Uodate after three days:Battery still going on at 15% with 1 hour daily voice call , some whatsapp  and mostly standby.So it is power monster in battery category","Not So impressive,okay okay.Little over price The media could not be loaded.
                




   #m12,#m12unboxing,#samsungm12 ,#unboxing ,#Samsung, #Galaxy, #M12,#SamsungGalaxyM12M12 unboxing videoNot so impressive Mobile from Samsung, currently direct compete with LGK42, Moto G30/G10To All people who want to purchase mobile DO NOT go on Mobile Marketing and Actors endorsing Mobile.:Remember 5G is coming hence you are getting so much discount on all 4G mobile. Mobile manufacturers are clearing stocks, Need to inform 5G mobile support 4G band but all 4G mobile will not support 5G.Take example, if you purchase 20,0000 mobile today, after 20 months you may need to change to 5G mobile hence it will cost you 1000 per month (costing matters) and you will not get High exchange value (not even 50% cost), Currently 5G yet to come in India, may be yearend or come will be high cost.Points to Remember while purchasing Mobile:1) Mobile band support, Dual Wi-fi Support is better.2) Graphics PPI matter hence check PPI value of mobile. It directly related to Mobile display and colour quality, Higher is better.3) Check Mobile camera F value (lower value, higher picture quality) if less than 1.8 is best. Mostly camera quality depends on Focal Value not on pixel4) Android upgrade support. This is important as your mobile will useless within 2 years, remember you don’t want any mobile who cannot upgrade to Android 11.5) Item Weight and height of mobile. Lower is better, it really matter as you will get pain while holding mobile for long time, specially  old people.6) Mobile resolution, Higher is better7) screen refresh rate, Higher is better8) Clean Android installation. This is also important as manufacturers cannot force you to install or retain any app.M12 /Pro6000 battery (not fully tested yet)Android 11, v11.0 operating system, One UI 3.1with 8nm Power Efficient Exynos850 (Octa Core 2.0GHz)90Hz screen refresh rateSamsung Brand (Non-Chinese)Galaxy Store supportDolby Atmos support. Currently Audio testing is going onM12 Cons720p screen resolutionNo AR support, ARcore Absentresolution with 720 x 1600 pixels resolution, low Graphics PPI 269 PPI with 16M colours221 Grams Dimensions 1 x 7.6 x 16.4 cmLCDpre-installed Bloatware some of cannot uninstalled but need to disablehigher Mobile F value (F 2.0)No headphones, no backcover ,no extra accessories.Uodate after three days:Battery still going on at 15% with 1 hour daily voice call , some whatsapp  and mostly standby.So it is power monster in battery category","Counter({'mobile': 21, 'is': 11, 'to': 10, 'not': 8, 'you': 8, 'support': 7, 'will': 6, 'value': 6, 'on': 5, 'and': 5, '5g': 5, 'so': 4, 'with': 4, 'it': 4, '1': 4, '2': 4, 'ppi': 4, 'higher': 4, 'android': 4, 'be': 3, 'm12': 3, 'currently': 3, 'all': 3, 'remember': 3, 'hence': 3, '4g': 3, 'need': 3, 'cost': 3, 'better': 3, 'of': 3, 'quality': 3, 'f': 3, 'as': 3, 'cannot': 3, 'screen': 3, 'battery': 3, 'x': 3, 'no': 3, 'impressive': 2, 'okay': 2, 'unboxing': 2, 'samsung': 2, 'galaxy': 2, 'people': 2, 'who': 2, 'want': 2, 'purchase': 2, 'are': 2, 'manufacturers': 2, 'band': 2, 'but': 2, 'if': 2, '20': 2, 'after': 2, 'may': 2, 'get': 2, 'high': 2, 'yet': 2, 'come': 2, 'in': 2, 'or': 2, 'while': 2, 'graphics': 2, 'matter': 2, 'check': 2, '3': 2, 'camera': 2, 'lower': 2, 'mostly': 2, 'upgrade': 2, 'this': 2, 'important': 2, 'any': 2, '11': 2, '6': 2, 'resolution': 2, 'refresh': 2, '0': 2, 'power': 2, 'going': 2, 'some': 2, 'little': 1, 'over': 1, 'price': 1, 'the': 1, 'media': 1, 'could': 1, 'loaded': 1, 'm12unboxing': 1, 'samsungm12': 1, 'samsunggalaxym12m12': 1, 'videonot': 1, 'from': 1, 'direct': 1, 'compete': 1, 'lgk42': 1, 'moto': 1, 'g30': 1, 'g10to': 1, 'do': 1, 'go': 1, 'marketing': 1, 'actors': 1, 'endorsing': 1, 'coming': 1, 'getting': 1, 'much': 1, 'discount': 1, 'clearing': 1, 'stocks': 1, 'inform': 1, 'take': 1, 'example': 1, '0000': 1, 'today': 1, 'months': 1, 'change': 1, '1000': 1, 'per': 1, 'month': 1, 'costing': 1, 'matters': 1, 'exchange': 1, 'even': 1, '50': 1, 'india': 1, 'yearend': 1, 'points': 1, 'purchasing': 1, 'dual': 1, 'wi': 1, 'fi': 1, 'directly': 1, 'related': 1, 'display': 1, 'colour': 1, 'picture': 1, 'less': 1, 'than': 1, '8': 1, 'best': 1, 'depends': 1, 'focal': 1, 'pixel4': 1, 'your': 1, 'useless': 1, 'within': 1, 'years': 1, 'don': 1, 't': 1, '5': 1, 'item': 1, 'weight': 1, 'height': 1, 'really': 1, 'pain': 1, 'holding': 1, 'for': 1, 'long': 1, 'time': 1, 'specially': 1, 'old': 1, 'better7': 1, 'rate': 1, 'better8': 1, 'clean': 1, 'installation': 1, 'also': 1, 'force': 1, 'install': 1, 'retain': 1, 'app': 1, 'pro6000': 1, 'fully': 1, 'tested': 1, 'v11': 1, 'operating': 1, 'system': 1, 'one': 1, 'ui': 1, '1with': 1, '8nm': 1, 'efficient': 1, 'exynos850': 1, 'octa': 1, 'core': 1, '0ghz': 1, '90hz': 1, 'ratesamsung': 1, 'brand': 1, 'non': 1, 'chinese': 1, 'store': 1, 'supportdolby': 1, 'atmos': 1, 'audio': 1, 'testing': 1, 'onm12': 1, 'cons720p': 1, 'resolutionno': 1, 'ar': 1, 'arcore': 1, 'absentresolution': 1, '720': 1, '1600': 1, 'pixels': 1, 'low': 1, '269': 1, '16m': 1, 'colours221': 1, 'grams': 1, 'dimensions': 1, '7': 1, '16': 1, '4': 1, 'cmlcdpre': 1, 'installed': 1, 'bloatware': 1, 'uninstalled': 1, 'disablehigher': 1, 'headphones': 1, 'backcover': 1, 'extra': 1, 'accessories': 1, 'uodate': 1, 'three': 1, 'days': 1, 'still': 1, 'at': 1, '15': 1, 'hour': 1, 'daily': 1, 'voice': 1, 'call': 1, 'whatsapp': 1, 'standby': 1, 'monster': 1, 'category': 1})"
Not a good budget phone,2,"Product specifications are not at par..Display is below average.Camera quality is just okay..It doesnt support 5ghz wifi, which is not mentioned anywhere so please make sure before buying..","Not a good budget phone Product specifications are not at par..Display is below average.Camera quality is just okay..It doesnt support 5ghz wifi, which is not mentioned anywhere so please make sure before buying..","Counter({'not': 3, 'is': 3, 'a': 1, 'good': 1, 'budget': 1, 'phone': 1, 'product': 1, 'specifications': 1, 'are': 1, 'at': 1, 'par': 1, 'display': 1, 'below': 1, 'average': 1, 'camera': 1, 'quality': 1, 'just': 1, 'okay': 1, 'it': 1, 'doesnt': 1, 'support': 1, '5ghz': 1, 'wifi': 1, 'which': 1, 'mentioned': 1, 'anywhere': 1, 'so': 1, 'please': 1, 'make': 1, 'sure': 1, 'before': 1, 'buying': 1})"
Samsung UI/UX is the worst,1,"The user experience is pathetic on these cheap phones. Its filled to the brim with bloatware that you can't remove.You're better off getting the Mi phones as they have a far better UIAlso, I can't return this garbage of a phone as Samsung don't list this as a software issue.I'll have to look into installing lineage os and de-google this phone before using it but that's easier said than done.","Samsung UI/UX is the worst The user experience is pathetic on these cheap phones. Its filled to the brim with bloatware that you can't remove.You're better off getting the Mi phones as they have a far better UIAlso, I can't return this garbage of a phone as Samsung don't list this as a software issue.I'll have to look into installing lineage os and de-google this phone before using it but that's easier said than done.","Counter({'the': 4, 't': 3, 'as': 3, 'a': 3, 'this': 3, 'samsung': 2, 'is': 2, 'phones': 2, 'to': 2, 'that': 2, 'you': 2, 'can': 2, 'better': 2, 'have': 2, 'i': 2, 'phone': 2, 'ui': 1, 'ux': 1, 'worst': 1, 'user': 1, 'experience': 1, 'pathetic': 1, 'on': 1, 'these': 1, 'cheap': 1, 'its': 1, 'filled': 1, 'brim': 1, 'with': 1, 'bloatware': 1, 'remove': 1, 're': 1, 'off': 1, 'getting': 1, 'mi': 1, 'they': 1, 'far': 1, 'uialso': 1, 'return': 1, 'garbage': 1, 'of': 1, 'don': 1, 'list': 1, 'software': 1, 'issue': 1, 'll': 1, 'look': 1, 'into': 1, 'installing': 1, 'lineage': 1, 'os': 1, 'and': 1, 'de': 1, 'google': 1, 'before': 1, 'using': 1, 'it': 1, 'but': 1, 's': 1, 'easier': 1, 'said': 1, 'than': 1, 'done': 1})"
